,Rank,2021,2021.1,2016,2016.1,2014,2014.1,2013,2013.1,2012,2012.1,2011,2011.1,2010,2010.1,2009,2009.1,2008,2008.1,2007,2007.1,2006,2006.1
0,1,China,27070110,China,21366057,China,17966893,United States,17091162,United States,16596084,United States,15802898,United States,15121133,United States,14494460,United States,14791194,United States,14585723,United States,14140770
1,2,United States,23393117,United States,18749688,United States,17823200,China,16418959,China,15112256,China,13680536,China,12305378,China,11017654,China,10090052,China,8991462,China,7637790
2,3,India,10059402,India,8594226,India,7292778,India,6699996,India,6179567,India,5794517,India,5314158,India,4783856,Japan,4433212,Japan,4408333,Japan,4180595
3,4,Japan,5601433,Japan,5443842,Japan,4846688,Japan,4844841,Japan,4700740,Japan,4522723,Japan,4437371,Japan,4192471,India,4376743,India,4138987,India,3658435
4,5,Germany,4961000,Germany,4394786,Germany,4243163,Germany,4097775,Germany,3890009,Germany,3634151,Germany,3505460,Germany,3407922,Germany,3286644,Germany,3170077,Germany,3006891
5,6,Russia,4668845,Brazil,4175469,Brazil,3809390,Brazil,3651266,Brazil,3474015,Brazil,3293559,Brazil,3157522,Brazil,2953733,Brazil,2836486,Brazil,2724769,Brazil,2603694
6,7,France,3499765,Russia,3305725,Russia,3237388,Russia,3108506,Russia,3254184,Russia,3124400,Russia,2837672,Russia,2678150,Russia,2597648,United Kingdom,2325258,United Kingdom,2270766
7,8,Indonesia,3471169,Indonesia,2929424,France,2655517,France,2625346,France,2494655,France,2495100,France,2381563,France,2291855,United Kingdom,2343012,France,2288657,France,2094160
8,9,Brazil,3328105,France,2835242,Indonesia,2592315,United Kingdom,2483802,United Kingdom,2394758,United Kingdom,2343934,United Kingdom,2281280,United Kingdom,2272667,France,2310555,France,2224097,Russia,2071669
9,10,United Kingdom,3327025,United Kingdom,2763382,United Kingdom,2550078,Indonesia,2436810,Indonesia,2275802,Italy,2124755,Italy,2054019,Italy,2016501,Italy,2050607,Italy,1971909,Italy,1865144
10,11,Italy,2745846,Italy,2316529,Italy,2155153,Italy,2148502,Italy,2134839,Indonesia,2106961,Indonesia,1949021,Indonesia,1798541,Indonesia,1705066,Indonesia,1568263,Indonesia,1434248
11,12,Turkey,2553209,Mexico,2262919,Mexico,2111206,Mexico,1939753,Mexico,1941682,Mexico,1859264,Mexico,1710132,Mexico,1597656,Mexico,1611372,Mexico,1516236,Mexico,1432295
12,13,Mexico,2544720,Turkey,1907486,South Korea,1696955,South Korea,1652081,South Korea,1627812,South Korea,1568631,South Korea,1506812,Spain,1492658,Spain,1508412,Spain,1447718,Spain,1346277
13,14,South Korea,2457443,South Korea,1833914,Canada,1576495,Saudi Arabia,1549822,Spain,1497167,Spain,1494181,Spain,1486687,South Korea,1393108,South Korea,1405612,South Korea,1350407,South Korea,1246382
14,15,Canada,1976965,Saudi Arabia,1799740,Spain,1556600,Canada,1535440,Saudi Arabia,1488100,Canada,1401447,Canada,1336646,Canada,1279702,Canada,1313134,Canada,1271027,Canada,1212200
